t,x,y,theta,state,front_min,dist_goal,clearance,v,omega
32.65000000000028,6.0366289517922125,4.413666866535175,0.6292026692659194,AVOID,0.10849282443057656,5.460404708487586,0.27287269857609486,0.08,0.0
32.70000000000028,6.039862939770766,4.416020867757471,0.6292026692659194,AVOID,0.1115245803838392,5.456672621678667,0.27284420475265025,0.08,0.0
32.75000000000028,6.04309692774932,4.418374868979766,0.6292026692659194,AVOID,0.1149578019516096,5.452940914761656,0.27283330209393875,0.08,0.0
32.800000000000274,6.046330915727874,4.420728870202062,0.6292026692659194,AVOID,0.11887014830153256,5.449209588517019,0.27283999123257263,0.08,0.0
32.85000000000027,6.049564903706428,4.4230828714243575,0.6292026692659194,AVOID,0.12336825188175243,5.445478643727286,0.27286427178041983,0.08,0.0
32.90000000000027,6.052798891684982,4.425436872646653,0.6292026692659194,AVOID,0.12860558848240022,5.44174808117705,0.27290614232871724,0.08,0.0
32.950000000000266,6.056032879663536,4.427790873868949,0.6292026692659194,AVOID,0.13481765209297186,5.438017901652977,0.2729656004484786,0.08,0.0
33.00000000000026,6.05926686764209,4.430144875091244,0.6292026692659194,AVOID,0.1424007747844541,5.434288105943812,0.2730426426911994,0.08,0.0
33.05000000000026,6.062500855620644,4.43249887631354,0.6292026692659194,AVOID,0.1521275948394301,5.430558694840387,0.2731372645898563,0.08,0.0
33.10000000000026,6.065734843599198,4.434852877535835,0.6292026692659194,AVOID,0.16599268310234652,5.426829669135624,0.2732494606602017,0.08,0.0
33.150000000000254,6.0689688315777515,4.437206878758131,0.6292026692659194,RUN,2.0,5.423101029624545,0.2733792244023515,0.64,1.6676834768907285
33.20000000000025,6.094026073972997,4.45709510203624,0.7125868431104561,AVOID,0.11093366399650836,5.392835003102905,0.2737159423275606,0.08,0.0
33.25000000000025,6.097052766568141,4.4597102754405284,0.7125868431104561,AVOID,0.11388220174885427,5.38900115262838,0.27367034982912064,0.08,0.0
33.300000000000246,6.100079459163285,4.462325448844817,0.7125868431104561,AVOID,0.11721734467860521,5.385167543853032,0.2736423314696863,0.08,0.0
33.35000000000024,6.103106151758429,4.464940622249106,0.7125868431104561,AVOID,0.12101169978981327,5.381334177293414,0.27363188887199885,0.08,0.0
33.40000000000024,6.106132844353573,4.467555795653395,0.7125868431104561,AVOID,0.12536405880976267,5.377501053467519,0.2736390226409142,0.08,0.0
